SongName	COUNT(*)
Hearts On Fire	2
Glad All Over	3
Kiss Me	3
Good Day	2
To the Door of the Sun	4
American Boy (feat. Kanye West)	1
Lonely No More	1
Alone	3
Who Are You	2
Desperado - 2013 Remaster	5
TiK ToK	1
Flashlight - From "Pitch Perfect 2" Soundtrack	5
A Sky Full of Stars	3
Magic Carpet Ride	3
She Drives Me Crazy	5
#thatPOWER	2
Physical	9
We'll Sing in the Sunshine	2
No Sleep	1
Planets	3
Let Me Think About It - Ida Corr Vs Fedde Le Grand / Radio Edit	2
How Deep Is Your Love	16
One Way Ticket	7
In My Blood	7
Too Young to Be Married - 1999 Remaster	3
Last Time	2
Blue Sky Mine - Remastered	2
Drive By	4
GIRL LIKE ME	3
One More Try - Remastered	4
You've Got What It Takes	1
I Don't Wanna Go On With You Like That	1
By Your Side (feat. Tom Grennan)	4
Loser	1
A Fifth Of Beethoven	2
Up on the Roof	2
Sorrento Moon (I Remember)	1
Things We Lost In The Fire	1
Jolene	1
Super Freaky Girl	5
Lonely	7
Run - Revised Album Version	2
Foolish Games	2
Hotel California - 2013 Remaster	3
How We Do (Party)	2
Take It Back	2
Maniac	6
Smile	5
Put Your Hands Up For Detroit	4
Mr. Jones	7
Trouble Trouble	4
Bye Bye	1
Emoji of a Wave	3
Embrace - Radio Edit	2
Been Waiting	6
To Love Somebody	8
A Song for You	6
Oops!...I Did It Again	2
Harlem Shake	5
Look What You Made Me Do	2
Disarm	1
Pretty Fly (For A White Guy)	1
We like to Party! (The Vengabus)	2
Still Fighting It	3
Unskinny Bop	1
My Baby Loves Lovin'	2
Dancing in the Moonlight - 2001 Remix	2
Better	9
Underneath the Radar	3
Smooth Criminal - 2012 Remaster	1
Rich Girl	4
Crazy	7
I See You Baby	3
Montego Bay	1
Picture Frames	1
Wild Wild West (feat. Dru Hill & Kool Mo Dee) - Album Version With Intro	3
Stay With Me	9
Sharing The Night Together	4
That Girl Belongs To Yesterday	1
Up Around The Bend	2
Absolutely Fabulous - 7'' Mix; 2001 Remastered Version	1
Rope	2
Shakin' All Over - Live	4
Remedy	7
Cheap Thrills (feat. Sean Paul)	3
Endless Love (Glee Cast Version)	2
Teenage Crime	3
Run	3
Mary Jane's Last Dance	5
Shake It	4
Hey Paula	4
Ma Baker	2
Dear Mr. President	2
Axel F - From "Beverly Hills Cop" Soundtrack	1
Chains	4
Stay Wild	1
Tears	6
Trampoline (with ZAYN)	4
Bum Like You	3
Are You Sure	4
Ti Amo	1
Stagger Lee	5
Justified & Ancient	4
The Trouble with Us	2
You Don't Scare Me	2
Enemy (with JID) - from the series Arcane League of Legends	3
I'm With You - Single Edit	1
In For The Kill	4
When Will I See You Again	2
A Groovy Kind of Love - 2016 Remaster	2
Twilight Time	4
Truly Madly Deeply	1
Dear Darlin'	3
Love Don't Cost a Thing	8
We Think It's Love	2
Thought I'd Died And Gone To Heaven	3
Teardrops - Single Version	2
If	2
Linger (feat. Lupe Fiasco)	2
Not Afraid	9
Gloria	3
Sarah	4
Flashback	1
Read My lips	3
Am I Ever Gonna See Your Face Again (live)	3
Let's Go	4
Peaches (feat. Daniel Caesar & Giveon)	1
Goodbye	4
Eve Of Destruction	4
Jet - 2010 Remaster	1
The Sound Of Breaking Up	1
To Her Door	2
The World I Know	4
Officially Missing You	2
The Time Warp	2
Paris	2
Do It Right	1
You've Got The Love	4
Feel Like Making Love	3
Battle Scars (feat. Lupe Fiasco)	3
Shaddap You Face	1
Kokomo	6
Touch Me In The Morning - First Pressing Single Version	3
World Where You Live	3
Symphony of Life	2
Fall At Your Feet	2
Agadoo	2
I Will Wait	3
Lean On Me (feat. Robinson)	1
Promiscuous	2
Zoom	3
Witchcraft	1
Lonely Weekends	4
When We Were Young	4
Say What You Want	3
What Is Life - Remastered 2014	2
Take Me Home, Country Roads - Rerecorded	1
Skin	1
Chase the Sun	3
Make Me (Cry)	3
Substitute	7
Yesterday Once More	2
Only One Road	4
Inside Out (feat. Griff)	4
How I Got This Way	3
Learn To Let Go	3
In The Flesh - Remastered	1
The Lazy Song	2
Standing	3
Down Among The Dead Men	4
Nobody Does It Better	2
Can I Go Now	1
Boyfriend	4
Lonely (with benny blanco)	1
From The Sea	1
Breathe	5
I Like It Both Ways	1
One Fine Day	1
Deal With It (feat. Kelis)	4
Grace Kelly	3
Runaround Sue - Remastered 1991	1
Legs - 2008 Remaster	1
Let's Get Loud	2
Circle	2
Master Blaster (Jammin')	1
California King Bed	3
Roxanne	4
Hope	2
I Believe	5
The Way You Make Me Feel - 2012 Remaster	5
Take Yourself Home	1
Break Up Song	1
Thorn in My Side - Remastered	4
