#expected output for user_rec_sample
SongID  SongName        Category        AlbumID SingerID
1       AAA     Pop     1       1
2       BBB     Pop     1       1
3       CCC     Pop     2       2
4       DDD     Rock    1       2
7       AAA     Pop     1       3
8       BBB     Rock    1       NULL
9       PopSong pOP     1       NULL


#expected output for user_rec_test
SongID  SongName        Category        AlbumID SingerID
3       CCC     Pop     2       2
4       DDD     Rock    1       2
5       EEE     Rock    2       3
6       LOL     Rap     2       3
7       AAA     Pop     1       3
8       BBB     Rock    1       NULL

